x, y, cal_s11, acc_s11, s11_error,, cal_s22, acc_s22, s22_error, cal_s12, acc_s12, s12_error,,0,3761
4.128824,1.527513,-9.609331,-9.339647,-2.887514,2.887514,0.209131,0.123128,69.849169,0.668341,0.638369,4.69507,,,
4.24971,1.587686,-9.609331,-9.386559,-2.373303,2.373303,0.209131,0.120291,73.854605,0.668341,0.605324,10.410409,,,
1.022969,0.113504,0.770439,0.266016,189.621669,189.621669,6.640453,8.154296,-18.564977,0.260311,-0.644989,140.358992,,,
1.067753,0.108866,0.770439,0.344262,123.79424,123.79424,6.640453,6.660367,-0.298985,0.260311,-0.160916,261.768259,,,
1.061539,0.164603,0.770439,0.266337,189.272329,189.272329,6.640453,6.251435,6.222859,0.260311,-0.187859,238.56718,,,
1.186891,2.734842,-11.357045,-11.215339,-1.263502,1.263502,-0.246287,-0.321576,23.412452,-0.520851,-0.522231,0.264388,,,
1.263939,2.784589,-11.357045,-11.175568,-1.623878,1.623878,-0.246287,-0.232411,-5.970608,-0.520851,-0.48736,-6.871778,,,
1.139292,2.812636,-11.357045,-11.141197,-1.937394,1.937394,-0.246287,-0.418385,41.133774,-0.520851,-0.530719,1.859399,,,
0.036581,3.30865,-10.753594,-10.582255,-1.619116,1.619116,-1.102246,-1.244032,11.39732,-0.106968,-0.024749,-332.205912,,,
0.146323,3.346083,-10.753594,-10.571592,-1.721613,1.721613,-1.102246,-1.204502,8.489491,-0.106968,-0.0954,-12.12583,,,
